,wordone,wordtwo,mean,sim,LCS
0,car,automobile,3.92,4.0,car
1,gem,jewel,3.84,4.0,gemstone
2,journey,voyage,3.84,3.99,travel
3,boy,lad,3.76,4.0,boy
4,coast,shore,3.7,4.0,bank
5,asylum,madhouse,3.61,4.0,psychiatric hospital
6,magician,wizard,3.5,4.0,magician in fantasy
7,midday,noon,3.42,4.0,noon
8,furnace,stove,3.11,4.0,stove
9,food,fruit,3.08,3.99,food
10,bird,cock,3.05,4.0,heraldic bird
11,bird,crane,2.97,4.0,Neognathae
12,tool,implement,2.95,4.0,tool
13,brother,monk,2.82,4.0,monk
14,lad,brother,1.66,4.0,male human
15,crane,implement,1.68,3.92,device
16,journey,car,1.16,3.99,travel
17,monk,oracle,1.1,3.71,device
18,cemetery,woodland,0.95,2.13,territorial entity
19,food,rooster,0.89,3.89,fodder
20,coast,hill,0.87,3.18,landform
21,forest,graveyard,0.84,2.0,territorial entity
22,shore,woodland,0.63,1.52,geographical object
23,monk,slave,0.55,3.98,social class
24,coast,forest,0.42,2.59,economic branch
25,lad,wizard,0.42,1.1,person
26,chord,smile,0.13,3.23,art form
27,glass,magician,0.11,2.21,human activity
28,rooster,voyage,0.08,3.89,motion
29,noon,string,0.01,3.84,object of group
